process_run_id,taxid,sciname,rank,read_count,abundance
CI19_taxclass,421058,Chryseobacterium oranimense,S,52,0.000527
CI19_taxclass,1493872,Chryseobacterium shandongense,S,48,0.000486
CI19_taxclass,536441,Chryseobacterium taklimakanense,S,47,0.000476
CI19_taxclass,192389,Chryseobacterium daecheongense,S,47,0.000476
CI19_taxclass,254,Chryseobacterium indoltheticum,S,39,0.000395
CI19_taxclass,558152,Chryseobacterium piperi,S,37,0.000375
CI19_taxclass,1685010,Chryseobacterium glaciei,S,36,0.000365
CI19_taxclass,59733,Chryseobacterium scophthalmum,S,32,0.000324
CI19_taxclass,2956784,Chryseobacterium paludis,S,29,0.000294
CI19_taxclass,1807141,Chryseobacterium panacisoli,S,21,0.000213
CI19_taxclass,3366770,Chryseobacterium cupriresistens,S,18,0.000182
CI19_taxclass,2929799,Chryseobacterium oryzae,S,14,0.000142
CI19_taxclass,1141221,Chryseobacterium taihuense,S,12,0.000122
CI19_taxclass,2754694,Chryseobacterium manosquense,S,4,4.1e-05
CI19_taxclass,2929800,Chryseobacterium suipulveris,S,4,4.1e-05
CI19_taxclass,232216,Chryseobacterium koreense,S,3,3e-05
CI19_taxclass,2547600,Chryseobacterium salivictor,S,1,1e-05
CI19_taxclass,3042315,Chryseobacterium gotjawalense,S,1,1e-05
CI19_taxclass,2782229,Epilithonimonas,G,1,1e-05
CI19_taxclass,2487072,Epilithonimonas vandammei,S,1,1e-05
CI19_taxclass,308865,Elizabethkingia,G,1556,0.015766
CI19_taxclass,238,Elizabethkingia meningoseptica,S,892,0.009038
CI19_taxclass,1117645,Elizabethkingia anophelis,S,634,0.006424
CI19_taxclass,172045,Elizabethkingia miricola,S,7,7.1e-05
CI19_taxclass,1756149,Elizabethkingia bruuniana,S,1,1e-05
CI19_taxclass,2796140,Elizabethkingia sp. M8,S,1,1e-05
CI19_taxclass,34084,Riemerella,G,3,3e-05
CI19_taxclass,34085,Riemerella anatipestifer,S,3,3e-05
CI19_taxclass,501783,Cloacibacterium,G,2,2e-05
CI19_taxclass,2004710,Cloacibacterium caeni,S,2,2e-05
CI19_taxclass,1016,Capnocytophaga,G,31,0.000314
CI19_taxclass,1848904,Capnocytophaga stomatis,S,31,0.000314
CI19_taxclass,237,Flavobacterium,G,29,0.000294
CI19_taxclass,3031997,Flavobacterium sp. YJ01,S,21,0.000213
CI19_taxclass,2665645,Flavobacterium sp. SLB02,S,1,1e-05
CI19_taxclass,3003257,Flavobacterium aestivum,S,5,5.1e-05
CI19_taxclass,2897181,Flavobacterium channae,S,1,1e-05
CI19_taxclass,1114873,Flavobacterium tructae,S,1,1e-05
CI19_taxclass,444459,Flagellimonas,G,3,3e-05
CI19_taxclass,516051,Flagellimonas lutaonensis,S,3,3e-05
CI19_taxclass,290174,Aquimarina,G,3,3e-05
CI19_taxclass,279356,Aquimarina muelleri,S,3,3e-05
CI19_taxclass,76831,Myroides,G,2,2e-05
CI19_taxclass,2572594,Myroides fluvii,S,2,2e-05
CI19_taxclass,178469,Arenibacter,G,1,1e-05
CI19_taxclass,616991,Arenibacter algicola,S,1,1e-05
CI19_taxclass,2893197,Aegicerativicinus,G,1,1e-05
CI19_taxclass,2893202,Aegicerativicinus sediminis,S,1,1e-05
CI19_taxclass,28453,Sphingobacterium,G,22,0.000223
CI19_taxclass,2420510,Sphingobacterium puteale,S,20,0.000203
CI19_taxclass,259,Sphingobacterium thalpophilum,S,1,1e-05
CI19_taxclass,459529,Sphingobacterium siyangense,S,1,1e-05
CI19_taxclass,1860196,Pseudobacter,G,5,5.1e-05
CI19_taxclass,661488,Pseudobacter ginsenosidimutans,S,5,5.1e-05
CI19_taxclass,79328,Chitinophaga,G,1,1e-05
CI19_taxclass,2725414,Chitinophaga oryzae,S,1,1e-05
CI19_taxclass,1097443,Aureibacter,G,1,1e-05
CI19_taxclass,866807,Aureibacter tunicatorum,S,1,1e-05
CI19_taxclass,416,Methylomonas,G,42,0.000426
CI19_taxclass,702114,Methylomonas koyamae,S,42,0.000426
CI19_taxclass,198346,Candidatus Palibaumannia,G,4,4.1e-05
CI19_taxclass,186490,Candidatus Palibaumannia cicadellinicola,S,4,4.1e-05
CI19_taxclass,286,Pseudomonas,G,3,3e-05
CI19_taxclass,469,Acinetobacter,G,2,2e-05
CI19_taxclass,2983215,Acinetobacter sp. ESL0695,S,2,2e-05
CI19_taxclass,613,Serratia,G,1,1e-05
CI19_taxclass,618,Serratia odorifera,S,1,1e-05
CI19_taxclass,662,Vibrio,G,1,1e-05
CI19_taxclass,47,Archangium,G,6,6.1e-05
CI19_taxclass,48,Archangium gephyra,S,6,6.1e-05
CI19_taxclass,1301,Streptococcus,G,286,0.002898
CI19_taxclass,1307,Streptococcus suis,S,282,0.002857
CI19_taxclass,2767842,Lactiplantibacillus,G,8,8.1e-05
CI19_taxclass,1590,Lactiplantibacillus plantarum,S,7,7.1e-05
CI19_taxclass,2893058,Pseudalkalibacillus,G,3,3e-05
CI19_taxclass,3382641,Pseudalkalibacillus sp. A8,S,3,3e-05
CI19_taxclass,44249,Paenibacillus,G,1,1e-05
CI19_taxclass,2741301,Paenibacillus sp. URB8-2,S,1,1e-05
CI19_taxclass,57493,Kocuria,G,1,1e-05
CI19_taxclass,72000,Kocuria rhizophila,S,1,1e-05
CI19_taxclass,1839,Nocardioides,G,1,1e-05
CI19_taxclass,3388267,Nocardioides terrisoli,S,1,1e-05
CI19_taxclass,1813,Amycolatopsis,G,1,1e-05
CI19_taxclass,3034022,Amycolatopsis sp. QT-25,S,1,1e-05
CI19_taxclass,1883,Streptomyces,G,1,1e-05
CI19_taxclass,2768068,Streptomyces genisteinicus,S,1,1e-05
CI19_taxclass,848,Fusobacterium,G,3,3e-05
CI19_taxclass,856,Fusobacterium varium,S,3,3e-05
CI19_taxclass,160798,Marinitoga,G,1,1e-05
CI19_taxclass,2809031,Marinitoga aeolica,S,1,1e-05
CI19_taxclass,9605,Homo,G,39,0.000395
CI19_taxclass,9606,Homo sapiens,S,39,0.000395
