process_run_id,taxid,sciname,rank,read_count,abundance
CI16_taxclass,2594269,Chryseobacterium sp. SNU WT5,S,4,6.7e-05
CI16_taxclass,1871047,Chryseobacterium sp.,S,2,3.4e-05
CI16_taxclass,651561,Chryseobacterium arthrosphaerae,S,14654,0.24636
CI16_taxclass,253,Chryseobacterium indologenes,S,4770,0.080192
CI16_taxclass,250,Chryseobacterium gleum,S,3430,0.057665
CI16_taxclass,1324352,Chryseobacterium gallinarum,S,1387,0.023318
CI16_taxclass,2497456,Chryseobacterium aureum,S,1080,0.018157
CI16_taxclass,112234,Chryseobacterium joostei,S,708,0.011903
CI16_taxclass,1241981,Chryseobacterium lactis,S,676,0.011365
CI16_taxclass,2759528,Chryseobacterium capnotolerans,S,606,0.010188
CI16_taxclass,1241982,Chryseobacterium nakagawai,S,336,0.005649
CI16_taxclass,1124835,Chryseobacterium carnipullorum,S,266,0.004472
CI16_taxclass,1813611,Chryseobacterium cucumeris,S,250,0.004203
CI16_taxclass,1265445,Chryseobacterium camelliae,S,241,0.004052
CI16_taxclass,421058,Chryseobacterium oranimense,S,222,0.003732
CI16_taxclass,192389,Chryseobacterium daecheongense,S,185,0.00311
CI16_taxclass,1493872,Chryseobacterium shandongense,S,163,0.00274
CI16_taxclass,1685010,Chryseobacterium glaciei,S,158,0.002656
CI16_taxclass,373672,Chryseobacterium gambrini,S,142,0.002387
CI16_taxclass,558152,Chryseobacterium piperi,S,128,0.002152
CI16_taxclass,2983606,Chryseobacterium fluminis,S,125,0.002101
CI16_taxclass,1241978,Chryseobacterium bernardetii,S,115,0.001933
CI16_taxclass,1807141,Chryseobacterium panacisoli,S,106,0.001782
CI16_taxclass,246,Chryseobacterium balustinum,S,75,0.001261
CI16_taxclass,254,Chryseobacterium indoltheticum,S,75,0.001261
CI16_taxclass,3366770,Chryseobacterium cupriresistens,S,69,0.00116
CI16_taxclass,2929800,Chryseobacterium suipulveris,S,67,0.001126
CI16_taxclass,2864040,Chryseobacterium chendengshani,S,65,0.001093
CI16_taxclass,2997336,Chryseobacterium wangxinyae,S,54,0.000908
CI16_taxclass,59733,Chryseobacterium scophthalmum,S,53,0.000891
CI16_taxclass,2956784,Chryseobacterium paludis,S,49,0.000824
CI16_taxclass,2929799,Chryseobacterium oryzae,S,47,0.00079
CI16_taxclass,536441,Chryseobacterium taklimakanense,S,45,0.000757
CI16_taxclass,1609531,Chryseobacterium rhizoplanae,S,31,0.000521
CI16_taxclass,232216,Chryseobacterium koreense,S,19,0.000319
CI16_taxclass,3042315,Chryseobacterium gotjawalense,S,14,0.000235
CI16_taxclass,2547600,Chryseobacterium salivictor,S,10,0.000168
CI16_taxclass,1854498,Chryseobacterium nepalense,S,8,0.000134
CI16_taxclass,2754694,Chryseobacterium manosquense,S,2,3.4e-05
CI16_taxclass,1141221,Chryseobacterium taihuense,S,1,1.7e-05
CI16_taxclass,2782231,Kaistella,G,29,0.000488
CI16_taxclass,266749,Kaistella jeonii,S,11,0.000185
CI16_taxclass,2908645,Kaistella sp. 97-N-M2,S,5,8.4e-05
CI16_taxclass,2487074,Kaistella daneshvariae,S,4,6.7e-05
CI16_taxclass,2852098,Kaistella faecalis,S,4,6.7e-05
CI16_taxclass,266748,Kaistella antarctica,S,3,5e-05
CI16_taxclass,2782229,Epilithonimonas,G,9,0.000151
CI16_taxclass,2487072,Epilithonimonas vandammei,S,6,0.000101
CI16_taxclass,3350167,Epilithonimonas sp. UC225_85,S,2,3.4e-05
CI16_taxclass,1416779,Epilithonimonas zeae,S,1,1.7e-05
CI16_taxclass,308865,Elizabethkingia,G,594,0.009986
CI16_taxclass,1117645,Elizabethkingia anophelis,S,506,0.008507
CI16_taxclass,238,Elizabethkingia meningoseptica,S,36,0.000605
CI16_taxclass,1756150,Elizabethkingia ursingii,S,13,0.000219
CI16_taxclass,172045,Elizabethkingia miricola,S,7,0.000118
CI16_taxclass,1756149,Elizabethkingia bruuniana,S,3,5e-05
CI16_taxclass,2583851,Elizabethkingia sp. JS20170427COW,S,1,1.7e-05
CI16_taxclass,1433995,Cruoricaptor,G,123,0.002068
CI16_taxclass,1118202,Cruoricaptor ignavus,S,123,0.002068
CI16_taxclass,34084,Riemerella,G,2,3.4e-05
CI16_taxclass,34085,Riemerella anatipestifer,S,2,3.4e-05
CI16_taxclass,59734,Empedobacter,G,2,3.4e-05
CI16_taxclass,247,Empedobacter brevis,S,2,3.4e-05
CI16_taxclass,1013,Weeksella,G,1,1.7e-05
CI16_taxclass,1014,Weeksella virosa,S,1,1.7e-05
CI16_taxclass,59735,Bergeyella,G,1,1.7e-05
CI16_taxclass,1735111,Bergeyella porcorum,S,1,1.7e-05
CI16_taxclass,1778601,Apibacter,G,1,1.7e-05
CI16_taxclass,2500547,Apibacter raozihei,S,1,1.7e-05
CI16_taxclass,3088764,Marnyiella,G,1,1.7e-05
CI16_taxclass,2758037,Marnyiella aurantia,S,1,1.7e-05
CI16_taxclass,237,Flavobacterium,G,75,0.001261
CI16_taxclass,3059026,Flavobacterium sp. ZE23DGlu08,S,6,0.000101
CI16_taxclass,3416605,Flavobacterium sp. MMS24-S5,S,6,0.000101
CI16_taxclass,3025668,Flavobacterium sp. KACC 22763,S,6,0.000101
CI16_taxclass,2986835,Flavobacterium sp. N3904,S,5,8.4e-05
CI16_taxclass,3384157,Flavobacterium sp. PS2,S,5,8.4e-05
CI16_taxclass,1979344,Flavobacterium sp. MDT1-60,S,4,6.7e-05
CI16_taxclass,3458682,Flavobacterium sp. 25HG05S-40,S,2,3.4e-05
CI16_taxclass,3151764,Flavobacterium sp. WV_118_3,S,1,1.7e-05
CI16_taxclass,2994319,Flavobacterium sp. GSB-24,S,1,1.7e-05
CI16_taxclass,459526,Flavobacterium anhuiense,S,9,0.000151
CI16_taxclass,3379707,Flavobacterium mekongense,S,6,0.000101
CI16_taxclass,1114873,Flavobacterium tructae,S,5,8.4e-05
CI16_taxclass,2748320,Flavobacterium inviolabile,S,3,5e-05
CI16_taxclass,683124,Flavobacterium haoranii,S,2,3.4e-05
CI16_taxclass,986,Flavobacterium johnsoniae,S,1,1.7e-05
CI16_taxclass,2906077,Flavobacterium davisii,S,1,1.7e-05
CI16_taxclass,3003256,Flavobacterium marginilacus,S,1,1.7e-05
CI16_taxclass,76831,Myroides,G,37,0.000622
CI16_taxclass,256,Myroides odoratus,S,31,0.000521
CI16_taxclass,76832,Myroides odoratimimus,S,6,0.000101
CI16_taxclass,290174,Aquimarina,G,9,0.000151
CI16_taxclass,1714860,Aquimarina sp. BL5,S,3,5e-05
CI16_taxclass,326319,Dokdonia,G,6,0.000101
CI16_taxclass,983548,Dokdonia sp. 4H-3-7-5,S,6,0.000101
CI16_taxclass,292691,Christiangramia,G,4,6.7e-05
CI16_taxclass,1913577,Christiangramia salexigens,S,4,6.7e-05
CI16_taxclass,112040,Zobellia,G,4,6.7e-05
CI16_taxclass,63186,Zobellia galactanivorans,S,4,6.7e-05
CI16_taxclass,104264,Cellulophaga,G,3,5e-05
CI16_taxclass,979,Cellulophaga lytica,S,1,1.7e-05
CI16_taxclass,59600,Cellulophaga algicola,S,1,1.7e-05
CI16_taxclass,1942464,Cellulophaga sp. HaHaR_3_176,S,1,1.7e-05
CI16_taxclass,389486,Sediminicola,G,1,1.7e-05
CI16_taxclass,1453352,Sediminicola sp. YIK13,S,1,1.7e-05
CI16_taxclass,286104,Winogradskyella,G,1,1.7e-05
CI16_taxclass,2697010,Winogradskyella helgolandensis,S,1,1.7e-05
CI16_taxclass,225842,Formosa,G,1,1.7e-05
CI16_taxclass,3382189,Formosa sp. 4Alg 33,S,1,1.7e-05
CI16_taxclass,1649495,Seonamhaeicola,G,1,1.7e-05
CI16_taxclass,2937786,Seonamhaeicola sp. ML3,S,1,1.7e-05
CI16_taxclass,216431,Croceibacter,G,1,1.7e-05
CI16_taxclass,313588,Croceibacter atlanticus,S,1,1.7e-05
CI16_taxclass,1649460,Hwangdonia,G,1,1.7e-05
CI16_taxclass,3075823,Hwangdonia lutea,S,1,1.7e-05
CI16_taxclass,252356,Maribacter,G,1,1.7e-05
CI16_taxclass,1644130,Maribacter sp. 1_2014MBL_MicDiv,S,1,1.7e-05
CI16_taxclass,104267,Tenacibaculum,G,1,1.7e-05
CI16_taxclass,2358479,Tenacibaculum singaporense,S,1,1.7e-05
CI16_taxclass,2027867,Daejeonia,G,1,1.7e-05
CI16_taxclass,3439042,Daejeonia sp. YH14,S,1,1.7e-05
CI16_taxclass,34098,Blattabacterium,G,1,1.7e-05
CI16_taxclass,1653831,Blattabacterium cuenoti,S,1,1.7e-05
CI16_taxclass,28453,Sphingobacterium,G,402,0.006758
CI16_taxclass,3031802,Sphingobacterium sp. WM,S,202,0.003396
CI16_taxclass,2795738,Sphingobacterium sp. UDSM-2020,S,138,0.00232
CI16_taxclass,2557994,Sphingobacterium sp. CZ-2,S,21,0.000353
CI16_taxclass,1538644,Sphingobacterium sp. ML3W,S,5,8.4e-05
CI16_taxclass,34087,Sphingobacterium faecium,S,7,0.000118
CI16_taxclass,2420510,Sphingobacterium puteale,S,6,0.000101
CI16_taxclass,371142,Sphingobacterium daejeonense,S,4,6.7e-05
CI16_taxclass,258,Sphingobacterium spiritivorum,S,4,6.7e-05
CI16_taxclass,1010,Sphingobacterium mizutaii,S,1,1.7e-05
CI16_taxclass,84567,Pedobacter,G,11,0.000185
CI16_taxclass,363849,Pedobacter panaciterrae,S,4,6.7e-05
CI16_taxclass,1411316,Pedobacter sp.,S,2,3.4e-05
CI16_taxclass,3383027,Pedobacter sp. MW01-1-1,S,1,1.7e-05
CI16_taxclass,3140251,Pedobacter sp. FW305-3-2-15-E-R2A2,S,1,1.7e-05
CI16_taxclass,188932,Pedobacter cryoconitis,S,1,1.7e-05
CI16_taxclass,430522,Pedobacter steynii,S,1,1.7e-05
CI16_taxclass,423349,Mucilaginibacter,G,4,6.7e-05
CI16_taxclass,2723088,Mucilaginibacter geliditolerans,S,3,5e-05
CI16_taxclass,2723092,Mucilaginibacter empetricola,S,1,1.7e-05
CI16_taxclass,290180,Roseivirga,G,103,0.001732
CI16_taxclass,1267423,Roseivirga pacifica,S,103,0.001732
CI16_taxclass,1522128,Catalinimonas,G,6,0.000101
CI16_taxclass,1397264,Catalinimonas niigatensis,S,6,0.000101
CI16_taxclass,323449,Pontibacter,G,1,1.7e-05
CI16_taxclass,2571030,Pontibacter sp. SGAir0037,S,1,1.7e-05
CI16_taxclass,120831,Dyadobacter,G,1,1.7e-05
CI16_taxclass,2909339,Dyadobacter chenhuakuii,S,1,1.7e-05
CI16_taxclass,107,Spirosoma,G,1,1.7e-05
CI16_taxclass,1379870,Spirosoma radiotolerans,S,1,1.7e-05
CI16_taxclass,1647173,Acetobacteroides,G,10,0.000168
CI16_taxclass,1760811,uncultured Acetobacteroides sp.,S,10,0.000168
CI16_taxclass,1918540,Muribaculum,G,9,0.000151
CI16_taxclass,2530390,Muribaculum gordoncarteri,S,9,0.000151
CI16_taxclass,816,Bacteroides,G,6,0.000101
CI16_taxclass,838,Prevotella,G,1,1.7e-05
CI16_taxclass,28131,Prevotella intermedia,S,1,1.7e-05
CI16_taxclass,3680098,Indolivaga,G,1,1.7e-05
CI16_taxclass,45254,Indolivaga capnocytophagoides,S,1,1.7e-05
CI16_taxclass,375288,Parabacteroides,G,1,1.7e-05
CI16_taxclass,2685834,Parabacteroides chongii,S,1,1.7e-05
CI16_taxclass,2678352,Maribellus,G,1,1.7e-05
CI16_taxclass,2681766,Maribellus comscasis,S,1,1.7e-05
CI16_taxclass,79328,Chitinophaga,G,12,0.000202
CI16_taxclass,2952571,Chitinophaga sp. HK235,S,6,0.000101
CI16_taxclass,1004,Chitinophaga sancti,S,1,1.7e-05
CI16_taxclass,1004303,Ferruginibacter,G,1,1.7e-05
CI16_taxclass,563172,Ferruginibacter lapsinanis,S,1,1.7e-05
CI16_taxclass,561,Escherichia,G,2,3.4e-05
CI16_taxclass,562,Escherichia coli,S,2,3.4e-05
CI16_taxclass,579,Kluyvera,G,2,3.4e-05
CI16_taxclass,547,Enterobacter,G,1,1.7e-05
CI16_taxclass,208224,Enterobacter kobei,S,1,1.7e-05
CI16_taxclass,570,Klebsiella,G,1,1.7e-05
CI16_taxclass,573,Klebsiella pneumoniae,S,1,1.7e-05
CI16_taxclass,2815296,Jejuibacter,G,1,1.7e-05
CI16_taxclass,2579935,Jejuibacter calystegiae,S,1,1.7e-05
CI16_taxclass,32199,Buchnera,G,6,0.000101
CI16_taxclass,9,Buchnera aphidicola,S,6,0.000101
CI16_taxclass,53335,Pantoea,G,1,1.7e-05
CI16_taxclass,553,Pantoea ananatis,S,1,1.7e-05
CI16_taxclass,629,Yersinia,G,3,5e-05
CI16_taxclass,633,Yersinia pseudotuberculosis,S,3,5e-05
CI16_taxclass,469,Acinetobacter,G,8,0.000134
CI16_taxclass,470,Acinetobacter baumannii,S,2,3.4e-05
CI16_taxclass,2919921,Acinetobacter zhairuonensis,S,2,3.4e-05
CI16_taxclass,40216,Acinetobacter radioresistens,S,1,1.7e-05
CI16_taxclass,642,Aeromonas,G,7,0.000118
CI16_taxclass,654,Aeromonas veronii,S,7,0.000118
CI16_taxclass,662,Vibrio,G,2,3.4e-05
CI16_taxclass,29494,Vibrio furnissii,S,1,1.7e-05
CI16_taxclass,657,Photobacterium,G,1,1.7e-05
CI16_taxclass,553611,Photobacterium leiognathi,S,1,1.7e-05
CI16_taxclass,286,Pseudomonas,G,2,3.4e-05
CI16_taxclass,303,Pseudomonas putida,S,1,1.7e-05
CI16_taxclass,1785161,Pseudomonas wadenswilerensis,S,1,1.7e-05
CI16_taxclass,231454,Dyella,G,2,3.4e-05
CI16_taxclass,3384240,Dyella sp. 20L07,S,2,3.4e-05
CI16_taxclass,53246,Pseudoalteromonas,G,1,1.7e-05
CI16_taxclass,67572,Psychromonas,G,1,1.7e-05
CI16_taxclass,3231032,Psychromonas sp. MME1,S,1,1.7e-05
CI16_taxclass,406099,Aquisalimonas,G,1,1.7e-05
CI16_taxclass,2740807,Aquisalimonas sp. 2447,S,1,1.7e-05
CI16_taxclass,1193503,Gilliamella,G,1,1.7e-05
CI16_taxclass,2704654,Gilliamella sp. ESL0441,S,1,1.7e-05
CI16_taxclass,28253,Marinomonas,G,1,1.7e-05
CI16_taxclass,1775424,Nioella,G,5,8.4e-05
CI16_taxclass,1912091,Nioella sp.,S,5,8.4e-05
CI16_taxclass,258255,Pseudovibrio,G,4,6.7e-05
CI16_taxclass,1898042,Pseudovibrio brasiliensis,S,4,6.7e-05
CI16_taxclass,374,Bradyrhizobium,G,1,1.7e-05
CI16_taxclass,13687,Sphingomonas,G,3,5e-05
CI16_taxclass,1813468,Sphingomonas naphthae,S,2,3.4e-05
CI16_taxclass,2565555,Sphingomonas sp. PAMC26645,S,1,1.7e-05
CI16_taxclass,2813804,Paremcibacter,G,1,1.7e-05
CI16_taxclass,2043170,Paremcibacter congregatus,S,1,1.7e-05
CI16_taxclass,48736,Ralstonia,G,1,1.7e-05
CI16_taxclass,106589,Cupriavidus,G,1,1.7e-05
CI16_taxclass,12916,Acidovorax,G,1,1.7e-05
CI16_taxclass,2714923,Acidovorax sp. HDW3,S,1,1.7e-05
CI16_taxclass,3050898,Sulfuricystis,G,1,1.7e-05
CI16_taxclass,2496847,Sulfuricystis thermophila,S,1,1.7e-05
CI16_taxclass,194,Campylobacter,G,2,3.4e-05
CI16_taxclass,199,Campylobacter concisus,S,1,1.7e-05
CI16_taxclass,57665,Sulfurospirillum,G,1,1.7e-05
CI16_taxclass,44674,Sulfurospirillum barnesii,S,1,1.7e-05
CI16_taxclass,47,Archangium,G,1,1.7e-05
CI16_taxclass,83451,Archangium violaceum,S,1,1.7e-05
CI16_taxclass,1301,Streptococcus,G,204,0.00343
CI16_taxclass,1307,Streptococcus suis,S,198,0.003329
CI16_taxclass,1349,Streptococcus uberis,S,3,5e-05
CI16_taxclass,2828286,Streptococcus sp. 11-4097,S,2,3.4e-05
CI16_taxclass,29389,Streptococcus alactolyticus,S,1,1.7e-05
CI16_taxclass,2767842,Lactiplantibacillus,G,9,0.000151
CI16_taxclass,1590,Lactiplantibacillus plantarum,S,9,0.000151
CI16_taxclass,1243,Leuconostoc,G,1,1.7e-05
CI16_taxclass,1252,Leuconostoc carnosum,S,1,1.7e-05
CI16_taxclass,2737,Vagococcus,G,2,3.4e-05
CI16_taxclass,2738,Vagococcus fluvialis,S,1,1.7e-05
CI16_taxclass,218144,Vagococcus carniphilus,S,1,1.7e-05
CI16_taxclass,1350,Enterococcus,G,1,1.7e-05
CI16_taxclass,37734,Enterococcus casseliflavus,S,1,1.7e-05
CI16_taxclass,45669,Salinicoccus,G,6,0.000101
CI16_taxclass,3477508,Salinicoccus sp. Marseille-QA3877,S,6,0.000101
CI16_taxclass,1279,Staphylococcus,G,1,1.7e-05
CI16_taxclass,246432,Staphylococcus equorum,S,1,1.7e-05
CI16_taxclass,400634,Lysinibacillus,G,2,3.4e-05
CI16_taxclass,2921504,Lysinibacillus sp. FSL K6-4013,S,2,3.4e-05
CI16_taxclass,1386,Bacillus,G,1,1.7e-05
CI16_taxclass,293387,Bacillus altitudinis,S,1,1.7e-05
CI16_taxclass,2837503,Gottfriedia,G,1,1.7e-05
CI16_taxclass,371036,Gottfriedia acidiceleris,S,1,1.7e-05
CI16_taxclass,1378,Gemella,G,4,6.7e-05
CI16_taxclass,1379,Gemella haemolysans,S,4,6.7e-05
CI16_taxclass,496496,Viridibacillus,G,1,1.7e-05
CI16_taxclass,263475,Viridibacillus arvi,S,1,1.7e-05
CI16_taxclass,648800,Solibacillus,G,1,1.7e-05
CI16_taxclass,2912187,Solibacillus daqui,S,1,1.7e-05
CI16_taxclass,1485,Clostridium,G,3,5e-05
CI16_taxclass,1499683,Clostridium culturomicium,S,1,1.7e-05
CI16_taxclass,1520,Clostridium beijerinckii,S,1,1.7e-05
CI16_taxclass,1534,Clostridium kluyveri,S,1,1.7e-05
CI16_taxclass,44258,Caloramator,G,1,1.7e-05
CI16_taxclass,3029174,Caloramator sp. Dgby_cultured_2,S,1,1.7e-05
CI16_taxclass,2048137,Agathobaculum,G,2,3.4e-05
CI16_taxclass,3079302,Agathobaculum sp. NTUH-O15-33,S,2,3.4e-05
CI16_taxclass,2304691,Thermoclostridium,G,1,1.7e-05
CI16_taxclass,1510,Thermoclostridium stercorarium,S,1,1.7e-05
CI16_taxclass,1890059,Serpentinicella,G,6,0.000101
CI16_taxclass,1734049,Serpentinicella alkaliphila,S,6,0.000101
CI16_taxclass,1505652,Terrisporobacter,G,1,1.7e-05
CI16_taxclass,2888809,Novisyntrophococcus,G,1,1.7e-05
CI16_taxclass,2068655,Novisyntrophococcus fermenticellae,S,1,1.7e-05
CI16_taxclass,1506553,Lachnoclostridium,G,1,1.7e-05
CI16_taxclass,29347,[Clostridium] scindens,S,1,1.7e-05
CI16_taxclass,1769008,Anoxybacter,G,1,1.7e-05
CI16_taxclass,1323375,Anoxybacter fermentans,S,1,1.7e-05
CI16_taxclass,191303,Turicibacter,G,1,1.7e-05
CI16_taxclass,906,Megasphaera,G,1,1.7e-05
CI16_taxclass,1232428,Megasphaera massiliensis,S,1,1.7e-05
CI16_taxclass,150022,Finegoldia,G,1,1.7e-05
CI16_taxclass,1260,Finegoldia magna,S,1,1.7e-05
CI16_taxclass,1857011,Lysinibacter,G,4,6.7e-05
CI16_taxclass,3031408,Lysinibacter sp. HNR,S,4,6.7e-05
CI16_taxclass,1663,Arthrobacter,G,2,3.4e-05
CI16_taxclass,2830992,Arthrobacter sp. StoSoilB5,S,2,3.4e-05
CI16_taxclass,596707,Sinomonas,G,1,1.7e-05
CI16_taxclass,3238584,Sinomonas puerhi,S,1,1.7e-05
CI16_taxclass,1883,Streptomyces,G,3,5e-05
CI16_taxclass,452529,Streptomyces scopuliridis,S,1,1.7e-05
CI16_taxclass,2903832,Streptomyces sp. NBC_01343,S,1,1.7e-05
CI16_taxclass,67326,Streptomyces melanogenes,S,1,1.7e-05
CI16_taxclass,1873,Micromonospora,G,2,3.4e-05
CI16_taxclass,299146,Micromonospora narathiwatensis,S,2,3.4e-05
CI16_taxclass,2093,Mycoplasma,G,11,0.000185
CI16_taxclass,538220,Mycoplasma struthionis,S,11,0.000185
CI16_taxclass,1190,Fischerella,G,5,8.4e-05
CI16_taxclass,111782,Tolypothrix,G,1,1.7e-05
CI16_taxclass,1129,Synechococcus,G,1,1.7e-05
CI16_taxclass,1353138,Synechococcus sp. CBW1006,S,1,1.7e-05
CI16_taxclass,9605,Homo,G,78,0.001311
CI16_taxclass,9606,Homo sapiens,S,78,0.001311
CI16_taxclass,871740,Halomarina,G,14,0.000235
CI16_taxclass,3033386,Halomarina halobia,S,14,0.000235
CI16_taxclass,2207,Methanosarcina,G,1,1.7e-05
CI16_taxclass,196118,Methanocaldococcus,G,1,1.7e-05
CI16_taxclass,2546128,Methanocaldococcus lauensis,S,1,1.7e-05
CI16_taxclass,338191,Nitrosopumilus,G,1,1.7e-05
CI16_taxclass,2795383,Nitrosopumilus sp. K4,S,1,1.7e-05
CI16_taxclass,3366645,Promethearchaeum,G,1,1.7e-05
CI16_taxclass,2594042,Promethearchaeum syntrophicum,S,1,1.7e-05
